prix_fcfa,superficie_m2,nombre_pieces,nombre_salles_bain,jardin,piscine,parking,terrasse,cuisineEquipee,securisee,balcon,cite,meuble,basse,duplex,triplex
100000000.0,1.0,7.0,4.0,0,0,0,1,0,0,0,0,0,1,0,0
36000000.0,230.0,4.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0
320000000.0,515.0,7.0,7.0,1,1,1,0,1,1,0,0,1,0,1,0
380000000.0,407.0,6.0,4.0,1,1,1,0,0,0,0,1,0,0,1,0
90000000.0,300.0,4.0,2.0,0,0,1,1,0,0,0,0,0,1,0,0
75000000.0,200.0,5.0,5.0,0,0,1,1,0,0,0,1,0,0,1,0
160000000.0,300.0,5.0,3.0,0,0,1,0,1,0,0,1,1,0,1,0
275000000.0,333.0,6.0,6.0,0,1,1,0,1,0,1,0,1,0,1,0
85000000.0,186.0,4.0,3.0,0,0,1,1,0,0,0,1,0,0,0,0
155000000.0,260.0,5.0,5.0,1,0,1,0,1,1,0,0,1,1,0,0
75000000.0,200.0,4.0,3.0,0,0,0,0,0,0,0,1,0,1,0,0
280000000.0,332.0,4.0,4.0,0,1,1,0,1,0,0,0,1,1,0,0
65000000.0,150.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0
1500000000.0,5000.0,5.0,4.0,0,1,0,0,0,0,0,0,1,0,1,0
650000000.0,559.0,6.0,4.0,1,1,0,1,1,0,0,0,1,0,1,0
180000000.0,250.0,6.0,6.0,1,1,1,0,1,1,1,0,1,0,0,1
250000000.0,303.0,5.0,5.0,0,0,0,0,0,1,0,1,0,0,1,0
90000000.0,225.0,6.0,5.0,0,0,1,1,0,0,0,1,0,0,1,0
275000000.0,546.0,8.0,6.0,1,0,1,0,0,0,0,1,0,0,1,0
650000000.0,559.0,6.0,5.0,1,1,0,1,1,0,0,1,1,0,1,0
160000000.0,300.0,6.0,6.0,0,1,1,1,1,0,0,1,1,0,1,0
190000000.0,500.0,8.0,7.0,1,0,1,1,1,0,0,1,1,0,1,0
400000000.0,635.0,5.0,4.0,1,0,1,0,0,0,0,0,0,0,1,0
170000000.0,300.0,6.0,5.0,1,1,1,0,1,0,1,0,1,0,1,0
1300000000.0,740.0,14.0,8.0,1,1,1,1,1,1,0,1,1,1,0,1
400000000.0,420.0,8.0,5.0,1,1,1,0,0,0,0,1,0,0,1,0
320000000.0,650.0,7.0,5.0,1,0,1,0,0,0,0,0,0,0,1,0
350000000.0,400.0,5.0,5.0,0,0,0,1,1,0,0,0,1,0,1,0
150000000.0,220.0,6.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0
65000000.0,190.0,9.0,5.0,0,0,1,0,0,0,0,1,0,0,1,0
10000000.0,150.0,3.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0
90000000.0,300.0,4.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0
150000000.0,200.0,5.0,4.0,0,1,1,1,0,1,0,1,0,0,1,0
90000000.0,260.0,5.0,4.0,1,0,1,1,0,0,0,1,0,1,0,0
420000000.0,617.0,9.0,9.0,0,0,1,0,1,1,0,1,1,0,1,0
250000000.0,303.0,5.0,4.0,0,0,0,0,0,1,0,1,0,0,1,0
55000000.0,200.0,4.0,3.0,0,0,1,0,0,0,1,0,0,0,1,0
395000000.0,635.0,5.0,5.0,1,0,1,0,1,0,0,0,1,0,1,0
75000000.0,200.0,4.0,4.0,0,0,1,0,0,0,0,1,0,0,1,0
70000000.0,200.0,5.0,5.0,0,0,1,1,0,0,0,1,0,0,1,0
150000000.0,200.0,8.0,6.0,0,0,1,1,0,0,1,0,0,0,0,1
120000000.0,200.0,5.0,5.0,0,0,1,1,0,0,1,0,0,0,1,0
350000000.0,300.0,6.0,6.0,0,0,0,0,0,0,0,0,1,0,1,0
65000000.0,5.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,1,0
170000000.0,350.0,5.0,5.0,1,0,0,1,1,0,0,0,1,0,1,0
2100000000.0,2000.0,14.0,12.0,0,1,0,0,0,0,0,0,0,0,1,0
175000000.0,300.0,6.0,5.0,1,0,1,0,1,0,0,0,1,0,1,0
130000000.0,350.0,5.0,5.0,0,0,0,0,0,0,0,1,0,0,1,0
150000000.0,350.0,5.0,3.0,1,0,1,1,0,0,0,1,0,0,1,0
